annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes,status_rank
enterotoxin type A / speL,enterotoxin type A / speL,27,0.0011,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
ATPase,ATPase,1982,0.0779,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Fe-S-cluster redox domain-containing,Fe-S-cluster redox domain-containing,20,0.0008,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
nucleotidase,nucleotidase,22,0.0009,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
attachment protein,attachment protein,31,0.0012,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
aerobic NDP reductase small subunit,aerobic NDP reductase small subunit,32,0.0013,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
major head and protease protein,major head and protease protein,32,0.0013,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold,2
NrdA-like aerobic NDP reductase large subunit,NrdA-like aerobic NDP reductase large subunit,33,0.0013,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
ABC transporter ATP-binding subunit,ABC transporter ATP-binding subunit,23,0.0009,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
polysaccharide deacetylase,polysaccharide deacetylase,23,0.0009,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
peptide deformylase,peptide deformylase,26,0.001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
FmdB-like transcriptional regulator,FmdB-like transcriptional regulator,291,0.0114,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
anti-termination protein N-like,anti-termination protein N-like,291,0.0114,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
polynucleotide kinase/phosphorylase,polynucleotide kinase/phosphorylase,301,0.0118,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
ribosomal protein S21,ribosomal protein S21,20,0.0008,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
thioredoxin domain,thioredoxin domain,5049,0.1985,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
thymidylate synthase,thymidylate synthase,5073,0.1995,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
HTH DNA binding protein,HTH DNA binding protein,5351,0.2104,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.,1
single strand DNA binding protein,single strand DNA binding protein,5853,0.2302,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
helicase loader,helicase loader,366,0.0144,parent_only,Genome_maintenance_propagation,DNA_replication,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
Kil protein for bacterial septation inhibition,Kil protein for bacterial septation inhibition,366,0.0144,parent_only,Gene_expression_reprogramming,Host_takeover_interference,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad host takeover / host physiology interference term; retained as parent-only support bucket in v1.0.2.,1
radical SAM domain-containing protein,radical SAM domain-containing protein,375,0.0147,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
QueC-like queuosine biosynthesis,QueC-like queuosine biosynthesis,323,0.0127,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,high,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
