annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes
neck passage structure,neck passage structure,157,0.0062,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
DNA transposition protein,DNA transposition protein,154,0.0061,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
DNA condensation,DNA condensation,153,0.006,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
pre-neck appendage protein,pre-neck appendage protein,151,0.0059,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
membrane DNA delivery,membrane DNA delivery,150,0.0059,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
plasmid antitoxin with HTH domain,plasmid antitoxin with HTH domain,148,0.0058,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
tRNA-His guanylyltransferase,tRNA-His guanylyltransferase,145,0.0057,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
cysteine dioxygenase,cysteine dioxygenase,145,0.0057,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
minor coat protein,minor coat protein,142,0.0056,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
MarR family transcrition regulator,MarR family transcrition regulator,138,0.0054,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
photosystem II D1,photosystem II D1,138,0.0054,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
RelE-like toxin,RelE-like toxin,137,0.0054,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
ferrochelatase,ferrochelatase,137,0.0054,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
EPS depolymerase,EPS depolymerase,133,0.0052,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
CpeT-like antenna protein,CpeT-like antenna protein,130,0.0051,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
2-aminooxy adenylosuccinate synthetase,2-aminooxy adenylosuccinate synthetase,124,0.0049,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
MokW-like host killing,MokW-like host killing,123,0.0048,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
CII-like regulator,CII-like regulator,122,0.0048,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
lipase,lipase,122,0.0048,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
glycoside hydrolase,glycoside hydrolase,120,0.0047,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
HTH DNA binding domain protein,HTH DNA binding domain protein,119,0.0047,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
dehydrogenase,dehydrogenase,118,0.0046,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ADP-ribosyltransferase exoenzyme toxin,ADP-ribosyltransferase exoenzyme toxin,114,0.0045,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
tail needle protein,tail needle protein,113,0.0044,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
lysophospholipase L1-like esterase,lysophospholipase L1-like esterase,111,0.0044,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
cobalamin biosynthesis protein,cobalamin biosynthesis protein,110,0.0043,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
replication terminator,replication terminator,107,0.0042,defer,Genome_maintenance_propagation,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
acyl-CoA N-acyltransferase,acyl-CoA N-acyltransferase,104,0.0041,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
hyaluronidase,hyaluronidase,97,0.0038,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
PblB-type receptor binding,PblB-type receptor binding,96,0.0038,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
